 Ti<->O Single Scatering                                Feff 6L.02    potph 4.12
 Abs   Z=22 Rmt= 0.950 Rnm= 1.351 K shell
 Pot 1 Z= 8 Rmt= 0.860 Rnm= 1.223
 Gam_ch=9.067E-01 H-L exch
 Mu=-2.901E+00 kf=2.063E+00 Vint=-1.912E+01 Rs_int= 1.758
 Path    1      icalc       2                           Feff 6L.02   genfmt 1.44
 -------------------------------------------------------------------------------
   2   4.000   1.8100    2.3635   -2.90136 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  22 Ti       absorbing atom
    -1.0450   -1.0450    1.0450  1   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda      real[p]@#
  0.000  2.3020E+00  0.0000E+00 -4.2438E+00  0.1019E+01  3.4678E+01  2.0631E+00
  0.200  2.2960E+00  1.0319E-01 -4.9425E+00  0.1019E+01  3.4827E+01  2.0724E+00
  0.400  2.2782E+00  2.0148E-01 -5.5909E+00  0.1019E+01  3.5181E+01  2.0999E+00
  0.600  2.2491E+00  2.9103E-01 -6.1901E+00  0.1018E+01  3.5482E+01  2.1451E+00
  0.800  2.2095E+00  3.6957E-01 -6.7415E+00  0.1019E+01  3.5356E+01  2.2070E+00
  1.000  2.1603E+00  4.3639E-01 -7.2463E+00  0.1019E+01  3.4457E+01  2.2844E+00
  1.200  2.1026E+00  4.9185E-01 -7.7058E+00  0.1021E+01  3.2642E+01  2.3765E+00
  1.400  2.0370E+00  5.3690E-01 -8.1205E+00  0.1024E+01  3.0076E+01  2.4823E+00
  1.600  1.9643E+00  5.7251E-01 -8.4907E+00  0.1027E+01  2.7147E+01  2.6013E+00
  1.800  1.8846E+00  5.9944E-01 -8.8159E+00  0.1032E+01  2.4283E+01  2.7330E+00
  2.000  1.7976E+00  6.1803E-01 -9.0956E+00  0.1037E+01  2.1809E+01  2.8772E+00
  2.200  1.7024E+00  6.2813E-01 -9.3289E+00  0.1043E+01  1.9925E+01  3.0343E+00
  2.400  1.5973E+00  6.2916E-01 -9.5154E+00  0.1046E+01  1.8744E+01  3.2043E+00
  2.600  1.4567E+00  6.5450E-01 -9.6377E+00  0.1113E+01  1.0377E+01  3.4051E+00
  2.800  1.4259E+00  6.9451E-01 -9.8941E+00  0.1173E+01  7.6256E+00  3.5346E+00
  3.000  1.4078E+00  7.1293E-01 -1.0093E+01  0.1210E+01  6.6506E+00  3.6715E+00
  3.200  1.3745E+00  7.0963E-01 -1.0273E+01  0.1221E+01  6.2172E+00  3.8152E+00
  3.400  1.3381E+00  6.9340E-01 -1.0434E+01  0.1220E+01  6.0281E+00  3.9650E+00
  3.600  1.2902E+00  6.6601E-01 -1.0568E+01  0.1211E+01  5.9742E+00  4.1202E+00
  3.800  1.2377E+00  6.3268E-01 -1.0697E+01  0.1200E+01  6.0054E+00  4.2803E+00
  4.000  1.1748E+00  5.9555E-01 -1.0818E+01  0.1186E+01  6.0953E+00  4.4448E+00
  4.200  1.1073E+00  5.5521E-01 -1.0928E+01  0.1171E+01  6.2283E+00  4.6129E+00
  4.400  1.0318E+00  5.1680E-01 -1.1042E+01  0.1157E+01  6.3948E+00  4.7845E+00
  4.600  9.5071E-01  4.7867E-01 -1.1151E+01  0.1143E+01  6.5883E+00  4.9589E+00
  4.800  8.6388E-01  4.4363E-01 -1.1261E+01  0.1130E+01  6.8043E+00  5.1359E+00
  5.000  7.7254E-01  4.1178E-01 -1.1373E+01  0.1117E+01  7.0397E+00  5.3152E+00
  5.200  6.7796E-01  3.8308E-01 -1.1485E+01  0.1106E+01  7.2920E+00  5.4964E+00
  5.400  5.8102E-01  3.5672E-01 -1.1594E+01  0.1095E+01  7.5594E+00  5.6794E+00
  5.600  4.8227E-01  3.3267E-01 -1.1705E+01  0.1085E+01  7.8405E+00  5.8640E+00
  5.800  3.8391E-01  3.1052E-01 -1.1814E+01  0.1076E+01  8.1341E+00  6.0499E+00
  6.000  2.8465E-01  2.9025E-01 -1.1920E+01  0.1067E+01  8.4394E+00  6.2370E+00
  6.500  5.0417E-02  2.4452E-01 -1.2161E+01  0.1043E+01  9.2488E+00  6.7093E+00
  7.000 -1.7689E-01  2.0511E-01 -1.2369E+01  0.1016E+01  1.0118E+01  7.1867E+00
  7.500 -3.9090E-01  1.7153E-01 -1.2554E+01  0.9898E+00  1.1040E+01  7.6680E+00
  8.000 -5.8458E-01  1.4519E-01 -1.2723E+01  0.9694E+00  1.2013E+01  8.1524E+00
  8.500 -7.6267E-01  1.2635E-01 -1.2886E+01  0.9546E+00  1.3031E+01  8.6392E+00
  9.000 -9.3248E-01  1.1322E-01 -1.3040E+01  0.9446E+00  1.4094E+01  9.1279E+00
  9.500 -1.1023E+00  1.0314E-01 -1.3188E+01  0.9388E+00  1.5199E+01  9.6181E+00
 10.000 -1.2731E+00  9.3937E-02 -1.3326E+01  0.9351E+00  1.6344E+01  1.0110E+01
 11.000 -1.6047E+00  7.4722E-02 -1.3592E+01  0.9290E+00  1.8751E+01  1.1096E+01
 12.000 -1.8912E+00  5.8958E-02 -1.3839E+01  0.9222E+00  2.1306E+01  1.2085E+01
 13.000 -2.1353E+00  5.0385E-02 -1.4030E+01  0.9182E+00  2.4003E+01  1.3076E+01
 14.000 -2.3711E+00  4.4024E-02 -1.4202E+01  0.9184E+00  2.6835E+01  1.4069E+01
 15.000 -2.6004E+00  3.6839E-02 -1.4411E+01  0.9186E+00  2.9797E+01  1.5062E+01
 16.000 -2.7991E+00  3.1360E-02 -1.4595E+01  0.9169E+00  3.2886E+01  1.6057E+01
 17.000 -2.9734E+00  2.8269E-02 -1.4697E+01  0.9158E+00  3.6098E+01  1.7053E+01
 18.000 -3.1486E+00  2.5223E-02 -1.4824E+01  0.9155E+00  3.9429E+01  1.8049E+01
 19.000 -3.3168E+00  2.1685E-02 -1.5017E+01  0.9143E+00  4.2876E+01  1.9046E+01
 20.000 -3.4634E+00  1.8933E-02 -1.5124E+01  0.9123E+00  4.6436E+01  2.0043E+01
