 name:     germanium                                              Feff 8.40
 formula:  Ge
 sites:    Ge1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   diamond structure
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=32 Rmt= 1.406 Rnm= 1.561 K  shell
 Pot 1 Z=32 Rmt= 1.409 Rnm= 1.567
 Gam_ch=2.284E+00 H-L exch
 Mu=-6.724E-01 kf=1.842E+00 Vint=-1.360E+01 Rs_int= 1.969
 PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   4.000   2.4500    2.9607   -0.67238 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  32 Ge       absorbing atom
    -1.4145    1.4145    1.4145  1  32 Ge    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  5.8513E+00  3.0789E-05 -4.5245E+00  1.061E+00  1.2299E+01  1.8436E+00
  0.100  5.8493E+00  5.0423E-02 -5.0039E+00  1.061E+00  1.2316E+01  1.8462E+00
  0.200  5.8435E+00  9.9654E-02 -5.4611E+00  1.061E+00  1.2367E+01  1.8539E+00
  0.300  5.8337E+00  1.4654E-01 -5.8969E+00  1.062E+00  1.2448E+01  1.8669E+00
  0.400  5.8199E+00  1.9004E-01 -6.3117E+00  1.062E+00  1.2553E+01  1.8848E+00
  0.500  5.8020E+00  2.2920E-01 -6.7060E+00  1.063E+00  1.2675E+01  1.9076E+00
  0.600  5.7799E+00  2.6324E-01 -7.0807E+00  1.064E+00  1.2806E+01  1.9351E+00
  0.700  5.7537E+00  2.9156E-01 -7.4365E+00  1.066E+00  1.2933E+01  1.9672E+00
  0.800  5.7231E+00  3.1371E-01 -7.7743E+00  1.067E+00  1.3047E+01  2.0037E+00
  0.900  5.6882E+00  3.2947E-01 -8.0950E+00  1.069E+00  1.3136E+01  2.0445E+00
  1.000  5.6490E+00  3.3902E-01 -8.3994E+00  1.072E+00  1.3190E+01  2.0893E+00
  1.100  5.6053E+00  3.4209E-01 -8.6891E+00  1.074E+00  1.3200E+01  2.1380E+00
  1.200  5.5572E+00  3.3922E-01 -8.9650E+00  1.077E+00  1.3162E+01  2.1905E+00
  1.300  5.5046E+00  3.3102E-01 -9.2279E+00  1.081E+00  1.3072E+01  2.2468E+00
  1.400  5.4475E+00  3.1820E-01 -9.4790E+00  1.084E+00  1.2934E+01  2.3066E+00
  1.500  5.3860E+00  3.0170E-01 -9.7191E+00  1.088E+00  1.2752E+01  2.3701E+00
  1.600  5.3199E+00  2.8274E-01 -9.9489E+00  1.092E+00  1.2537E+01  2.4371E+00
  1.700  5.2491E+00  2.6247E-01 -1.0168E+01  1.097E+00  1.2302E+01  2.5078E+00
  1.800  5.1736E+00  2.4205E-01 -1.0376E+01  1.100E+00  1.2062E+01  2.5821E+00
  1.900  5.0931E+00  2.2250E-01 -1.0569E+01  1.103E+00  1.1835E+01  2.6603E+00
  2.000  5.0074E+00  2.0441E-01 -1.0741E+01  1.106E+00  1.1641E+01  2.7425E+00
  2.200  4.7958E+00  1.7420E-01 -1.0957E+01  1.106E+00  1.1449E+01  2.9296E+00
