 Dicalcium manganate(IV)                                          Feff 8.40
 Ca2 (Mn O4)
 Autret, C.
 Structural investigation of Ca2 Mn O4 by neutron powder diffraction and
 electron microscopy
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=25 Rmt= 1.184 Rnm= 1.286 K  shell
 Pot 1 Z=20 Rmt= 1.598 Rnm= 1.663
 Pot 2 Z=25 Rmt= 1.187 Rnm= 1.294
 Pot 3 Z= 8 Rmt= 1.000 Rnm= 1.063
 Gam_ch=1.193E+00 H-L exch
 Mu=-5.417E+00 kf=2.183E+00 Vint=-2.357E+01 Rs_int= 1.661
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path    1      icalc       2
 -----------------------------------------------------------------------
   2   4.000   1.8571    2.4533   -5.41728 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
     0.0000    0.0000    0.0000  0  25 Mn       absorbing atom
    -1.8338   -0.2931    0.0000  3   8 O     
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
  0.000  2.9602E+00  5.4535E-05 -3.6711E+00  1.009E+00  2.7892E+01  2.1833E+00
  0.100  2.9597E+00  4.6159E-02 -4.0366E+00  1.009E+00  2.7920E+01  2.1855E+00
  0.200  2.9580E+00  9.1853E-02 -4.3888E+00  1.009E+00  2.8000E+01  2.1920E+00
  0.300  2.9551E+00  1.3664E-01 -4.7283E+00  1.009E+00  2.8125E+01  2.2029E+00
  0.400  2.9511E+00  1.8012E-01 -5.0551E+00  1.009E+00  2.8278E+01  2.2181E+00
  0.500  2.9459E+00  2.2196E-01 -5.3693E+00  1.010E+00  2.8441E+01  2.2374E+00
  0.600  2.9395E+00  2.6188E-01 -5.6711E+00  1.010E+00  2.8589E+01  2.2609E+00
  0.700  2.9318E+00  2.9969E-01 -5.9605E+00  1.010E+00  2.8695E+01  2.2883E+00
  0.800  2.9227E+00  3.3536E-01 -6.2375E+00  1.011E+00  2.8729E+01  2.3196E+00
  0.900  2.9121E+00  3.6863E-01 -6.5026E+00  1.012E+00  2.8664E+01  2.3546E+00
  1.000  2.9000E+00  3.9957E-01 -6.7558E+00  1.013E+00  2.8475E+01  2.3933E+00
  1.100  2.8861E+00  4.2822E-01 -6.9971E+00  1.014E+00  2.8147E+01  2.4354E+00
  1.200  2.8705E+00  4.5463E-01 -7.2268E+00  1.015E+00  2.7669E+01  2.4810E+00
  1.300  2.8528E+00  4.7886E-01 -7.4448E+00  1.017E+00  2.7045E+01  2.5298E+00
  1.400  2.8330E+00  5.0100E-01 -7.6512E+00  1.019E+00  2.6288E+01  2.5818E+00
  1.500  2.8108E+00  5.2112E-01 -7.8463E+00  1.022E+00  2.5420E+01  2.6370E+00
  1.600  2.7860E+00  5.3929E-01 -8.0299E+00  1.024E+00  2.4468E+01  2.6952E+00
  1.700  2.7583E+00  5.5555E-01 -8.2021E+00  1.028E+00  2.3466E+01  2.7565E+00
  1.800  2.7275E+00  5.6993E-01 -8.3630E+00  1.031E+00  2.2446E+01  2.8208E+00
  1.900  2.6932E+00  5.8241E-01 -8.5127E+00  1.035E+00  2.1441E+01  2.8882E+00
  2.000  2.6552E+00  5.9296E-01 -8.6510E+00  1.039E+00  2.0479E+01  2.9585E+00
  2.200  2.5664E+00  6.0783E-01 -8.8939E+00  1.047E+00  1.8787E+01  3.1086E+00
  2.400  2.4569E+00  6.1317E-01 -9.0914E+00  1.054E+00  1.7540E+01  3.2722E+00
  2.600  2.2937E+00  6.2092E-01 -9.2262E+00  1.095E+00  1.3749E+01  3.4638E+00
  2.800  2.2317E+00  6.7904E-01 -9.4261E+00  1.216E+00  8.0754E+00  3.6216E+00
  3.000  2.2134E+00  6.9944E-01 -9.6460E+00  1.243E+00  6.8996E+00  3.7533E+00
  3.200  2.1643E+00  6.9979E-01 -9.8446E+00  1.256E+00  6.3296E+00  3.8933E+00
  3.400  2.0994E+00  6.8497E-01 -1.0022E+01  1.254E+00  6.0544E+00  4.0403E+00
  3.600  2.0255E+00  6.6025E-01 -1.0190E+01  1.247E+00  5.9363E+00  4.1926E+00
  3.800  1.9445E+00  6.2787E-01 -1.0346E+01  1.232E+00  5.9145E+00  4.3497E+00
  4.000  1.8583E+00  5.9192E-01 -1.0497E+01  1.217E+00  5.9578E+00  4.5111E+00
  4.200  1.7692E+00  5.5491E-01 -1.0643E+01  1.201E+00  6.0483E+00  4.6763E+00
  4.400  1.6784E+00  5.1694E-01 -1.0786E+01  1.183E+00  6.1749E+00  4.8449E+00
  4.600  1.5865E+00  4.8027E-01 -1.0922E+01  1.166E+00  6.3302E+00  5.0166E+00
  4.800  1.4948E+00  4.4553E-01 -1.1054E+01  1.149E+00  6.5092E+00  5.1909E+00
  5.000  1.4037E+00  4.1288E-01 -1.1180E+01  1.132E+00  6.7084E+00  5.3677E+00
  5.200  1.3128E+00  3.8231E-01 -1.1299E+01  1.118E+00  6.9250E+00  5.5466E+00
  5.400  1.2231E+00  3.5382E-01 -1.1413E+01  1.104E+00  7.1570E+00  5.7274E+00
  5.600  1.1341E+00  3.2714E-01 -1.1520E+01  1.091E+00  7.4027E+00  5.9098E+00
  5.800  1.0458E+00  3.0245E-01 -1.1621E+01  1.080E+00  7.6611E+00  6.0938E+00
  6.000  9.5818E-01  2.7983E-01 -1.1718E+01  1.070E+00  7.9309E+00  6.2791E+00
  6.500  7.4025E-01  2.3221E-01 -1.1943E+01  1.048E+00  8.6508E+00  6.7474E+00
  7.000  5.2532E-01  1.9644E-01 -1.2156E+01  1.032E+00  9.4282E+00  7.2214E+00
  7.500  3.1733E-01  1.7044E-01 -1.2366E+01  1.017E+00  1.0257E+01  7.6998E+00
  8.000  1.1908E-01  1.5067E-01 -1.2573E+01  1.000E+00  1.1131E+01  8.1817E+00
  8.500 -7.1072E-02  1.3358E-01 -1.2764E+01  9.822E-01  1.2049E+01  8.6663E+00
  9.000 -2.5361E-01  1.1723E-01 -1.2933E+01  9.677E-01  1.3007E+01  9.1531E+00
  9.500 -4.3408E-01  1.0203E-01 -1.3082E+01  9.579E-01  1.4004E+01  9.6417E+00
 10.000 -6.0619E-01  8.9455E-02 -1.3222E+01  9.505E-01  1.5037E+01  1.0132E+01
